sentiment_class	text	pre_clean_len_text	clean_text	clean_len_text
1	@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake.	138	i current use the nikon and love it but not as much as the canon i chose the for the video feature my mistake	109
1	@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT.	114	google is always good place to look should ve mentioned i worked on the mustang my dad	86
0	Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.	126	played with an android google phone the slide out screen scares me i would break that fucker so fast still prefer my iphone	123
0	US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders	139	us planning to resume the military tribunals at guantanamo bay only this time those on trial will be aig execs and chrysler debt holders	136
0	omg so bored &amp; my tattoooos are so itchy!!  help! aha =)	60	omg so bored and my tattoooos are so itchy help aha	51
0	I'm itchy and miserable!	24	i am itchy and miserable	24
0	@sekseemess no. I'm not itchy for now. Maybe later, lol.	56	no i am not itchy for now maybe later lol	41
1	RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR	104	rt i love the nerdy stanford human biology videos makes me miss school	70
1	@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane.	139	has been bit crazy with steep learning curve but lyx is really good for long docs for anything shorter it would be insane	121
1	"I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)"	102	i am listening to by danny gokey aww he so amazing i him so much	64
1	is going to sleep then on a bike ride:]	39	is going to sleep then on bike ride	35
0	cant sleep... my tooth is aching.	33	can not sleep my tooth is aching	32
0	Blah, blah, blah same old same old. No plans today, going back to sleep I guess.	80	blah blah blah same old same old no plans today going back to sleep i guess	75
0	glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf	86	glad i didnt do bay to breakers today it freaking degrees in san francisco wtf	78
0	?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg	85	obama administration must stop bonuses to aig ponzi schemers	60
0	started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?	124	started to think that citi is in really deep sand are they gonna survive the turmoil or are they gonna be the next aig	118
0	ShaunWoo hate'n on AiG	22	shaunwoo hate on aig	20
1	@YarnThing you will not regret going to see Star Trek. It was AWESOME!	70	you will not regret going to see star trek it was awesome	57
0	annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.	122	annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that	117
1	Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell	77	highly recommend by malcolm gladwell	36
1	Blink by malcolm gladwell amazing book and The tipping point!	61	blink by malcolm gladwell amazing book and the tipping point	60
1	Malcolm Gladwell might be my new man crush	42	malcolm gladwell might be my new man crush	42
0	omg. The commercials alone on ESPN are going to drive me nuts.	62	omg the commercials alone on espn are going to drive me nuts	60
1	@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.	137	playing with twitter api sounds fun may need to take class or find new friend who like to generate results with api code	120
1	Hello Twitter API ;)	20	hello twitter api	17
0	@morind45 Because the twitter api is slow and most client's aren't good.	72	because the twitter api is slow and most client are not good	60
0	yahoo answers can be a butt sometimes	37	yahoo answers can be butt sometimes	35
1	is scrapbooking with Nic =D	27	is scrapbooking with nic	24
1	RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR	108	rt five things wolfram alpha does better and vastly different than google	73
1	just changed my default pic to a Nike basketball cause bball is awesome!!!!!	76	just changed my default pic to nike basketball cause bball is awesome	69
0	RT @SmartChickPDX: Was just told that Nike layoffs started today :-(	68	rt was just told that nike layoffs started today	48
1	Back when I worked for Nike we had one fav word : JUST DO IT! :)	64	back when i worked for nike we had one fav word just do it	58
1	By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9	87	by the way i am totally inspired by this freaky nike commercial	63
1	Class... The 50d is supposed to come today :)	45	class the is supposed to come today	35
0	needs someone to explain lambda calculus to him! :(	51	needs someone to explain lambda calculus to him	47
0	Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.	124	took the graduate field exam for computer science today nothing makes you feel like more of an idiot than lambda calculus	121
1	SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA......	140	shout outs to all east palo alto for being in the buildin karizmakaze cal gta also thanks to profits of doom universal hempz cracka	131
0	@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer.	137	yeahhhhhhhhh i would not really have lived in east palo alto if i could have avoided it i guess it only for the summer	118
1	@accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off!	137	great stanford course thanks for making it available to the public really helpful and informative for starting off	114
1	@ work til 6pm... lets go lakers!!!	35	work til pm lets go lakers	26
0	Damn you North Korea. http://bit.ly/KtMeQ	41	damn you north korea	20
0	Can we just go ahead and blow North Korea off the map already?	62	can we just go ahead and blow north korea off the map already	61
0	North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl	102	north korea please cease this douchebaggery china does not even like you anymore	80
0	Why the hell is Pelosi in freakin China? and on whose dime?	59	why the hell is pelosi in freakin china and on whose dime	57
0	"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a handout!"	119	are you burning more cash than chrysler and gm stop the financial tsunami where bailout means taking handout	108
0	insects have infected my spinach plant :(	41	insects have infected my spinach plant	38
0	wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects	140	wish i could catch every mosquito in the world burn em slowly they been bitin the shit outta me day mosquitos are the assholes of insects	137
0	just got back from church, and I totally hate insects.	54	just got back from church and i totally hate insects	52
0	Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it	131	just got mcdonalds goddam those eggs make me sick yeah laker up date go lakers not much of an update well it true so suck it	124
1	omgg i ohhdee want mcdonalds damn i wonder if its open lol =]	61	omgg i ohhdee want mcdonalds damn i wonder if its open lol	58
0	History exam studying ugh	25	history exam studying ugh	25
0	I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good...	111	i hate revision it so boring i am totally unprepared for my exam tomorrow things are not looking good	101
0	Higher physics exam tommorow, not lookin forward to it much :(	62	higher physics exam tommorow not lookin forward to it much	58
0	It's a bank holiday, yet I'm only out of work now. Exam season sucks:(	70	it bank holiday yet i am only out of work now exam season sucks	63
0	Cheney and Bush are the real culprits - http://fwix.com/article/939496	70	cheney and bush are the real culprits	37
0	Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ	96	life bitch and so is dick cheney bipart tlot tcot hhrs gop dnc	62
0	Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg	102	dick cheney dishonest speech about torture terror and obama fred kaplan slate	77
0	"""The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."" -- Neal Boortz (just now, on the radio)"	133	the republican party is bunch of anti abortion zealots who could not draw flies to dump neal boortz just now on the radio	121
0	is Twitter's connections API broken? Some tweets didn't make it to Twitter...	77	is twitter connections api broken some tweets did not make it to twitter	72
0	i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :(	73	i srsly hate the stupid twitter api timeout thing soooo annoying	64
1	"@psychemedia I really liked @kswedberg's ""Learning jQuery"" book. http://bit.ly/pg0lT is worth a look too"	104	i really liked learning jquery book is worth look too	53
1	Very Interesting Ad from Adobe by Goodby, Silverstein &amp; Partners - YouTube - Adobe CS4: Le Sens Propre http://bit.ly/VprpT	126	very interesting ad from adobe by goodby silverstein and partners youtube adobe cs le sens propre	97
1	Goodby Silverstein agency new site! http://www.goodbysilverstein.com/ Great!	76	goodby silverstein agency new site great	40
1	RT @designplay Goodby, Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!*	105	rt goodby silverstein new site i enjoy it nice find	51
1	The ever amazing Psyop and Goodby Silverstein &amp; Partners for HP! http://bit.ly/g2rU8 Have to go play with After Effects now!	128	the ever amazing psyop and goodby silverstein and partners for hp have to go play with after effects now	104
1	top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp; Kennedy http://bit.ly/nR1n9	133	top ten most watched on viral video chart love the nike mostvaluablepuppets campaign from wieden and kennedy	108
1	zomg!!! I have a G2!!!!!!!	26	zomg i have	11
1	Ok so lots of buzz from IO2009 but how lucky are they - a Free G2!! http://is.gd/Hyzl	85	ok so lots of buzz from io but how lucky are they free	54
1	just got a free G2 android at google i/o!!!	43	just got free android at google i	33
1	Guess I'll be retiring my G1 and start using my developer G2 woot #googleio	75	guess i will be retiring my and start using my developer woot googleio	70
1	I am happy for Philip being at GoogleIO today	45	i am happy for philip being at googleio today	45
1	Lakers played great!  Cannot wait for Thursday night Lakers vs. ???	67	lakers played great cannot wait for thursday night lakers vs	60
1	Judd Apatow creates fake sitcom on NBC.com to market his new movie... viral marketing at its best. http://is.gd/K0yK	116	judd apatow creates fake sitcom on nbc com to market his new movie viral marketing at its best	94
0	VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!	137	viral marketing fail this acia pills brand oughta get shut down for hacking into people messenger i get msgs in day arrrgh	122
1	watching Night at The Museum . Lmao	35	watching night at the museum lmao	33
1	i loved night at the museum!!!	30	i loved night at the museum	27
1	just got back from the movies.  went to see the new night at the museum with rachel.  it was good	97	just got back from the movies went to see the new night at the museum with rachel it was good	93
1	@shannyoday I will take you on a date to see night at the museum 2 whenever you want...it looks soooooo good	108	i will take you on date to see night at the museum whenever you want it looks soooooo good	90
1	no watching The Night At The Museum. Getting Really Good	56	no watching the night at the museum getting really good	55
1	Night at the Museum, Wolverine and junk food - perfect monday!	62	night at the museum wolverine and junk food perfect monday	58
1	saw night at the museum 2 last night.. pretty crazy movie.. but the cast was awesome so it was well worth it. Robin Williams forever!	133	saw night at the museum last night pretty crazy movie but the cast was awesome so it was well worth it robin williams forever	125
0	Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL	88	night at the museum tonite instead of up oh well that yr old better enjoy it lol	80
0	It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable	140	it unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable	138
0	Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed.	118	tell me again why we are giving more to gm we should use that for all the programs that support the unemployed	110
0	@jdreiss oh yes but if GM dies it will only be worth more boo hahaha	68	oh yes but if gm dies it will only be worth more boo hahaha	59
0	Time Warner cable is down again 3rd time since Memorial Day bummer!	67	time warner cable is down again rd time since memorial day bummer	65
0	"I would rather pay reasonable yearly taxes for ""free"" fast internet, than get gouged by Time Warner for a slow connection."	122	i would rather pay reasonable yearly taxes for free fast internet than get gouged by time warner for slow connection	116
0	NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner	94	nooooooo my dvr just died and i was only half way through the ea presser hate you time warner	93
0	F*ck Time Warner Cable!!! You f*cking suck balls!!! I have a $700 HD tv &amp; my damn HD channels hardly ever come in. Bullshit!!	129	ck time warner cable you cking suck balls i have hd tv and my damn hd channels hardly ever come in bullshit	107
0	time warner has the worse customer service ever. I will never use them again	76	time warner has the worse customer service ever i will never use them again	75
0	Time warner is the devil. Worst possible time for the Internet to go out.	73	time warner is the devil worst possible time for the internet to go out	71
0	Fuck no internet damn time warner!	34	fuck no internet damn time warner	33
0	time warner really picks the worst time to not work. all i want to do is get to mtv.com so i can watch the hills. wtfffff.	122	time warner really picks the worst time to not work all i want to do is get to mtv com so i can watch the hills wtfffff	119
0	I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn.	134	i hate time warner soooo wish i had vios can not watch the fricken mets game buffering i feel like im watching free internet porn	129
0	Ahh...got rid of stupid time warner today &amp; now taking a nap while the roomies cook for me. Pretty good end for a monday :)	127	ahh got rid of stupid time warner today and now taking nap while the roomies cook for me pretty good end for monday	115
0	Time Warner's HD line up is crap.	33	time warner hd line up is crap	30
0	is being fucked by time warner cable. didnt know modems could explode. and Susan Boyle sucks too!	97	is being fucked by time warner cable didnt know modems could explode and susan boyle sucks too	94
0	Time Warner Cable slogan: Where calling it a day at 2pm Happens.	64	time warner cable slogan where calling it day at pm happens	59
0	Recovering from surgery..wishing @julesrenner was here :(	57	recovering from surgery wishing was here	40
1	My wrist still hurts. I have to get it looked at. I HATE the dr/dentist/scary places. :( Time to watch Eagle eye. If you want to join, txt!	139	my wrist still hurts i have to get it looked at i hate the dr dentist scary places time to watch eagle eye if you want to join txt	130
0	"THE DENTIST LIED! "" U WON'T FEEL ANY DISCOMORT! PROB WON'T EVEN NEED PAIN PILLS"" MAN U TWIPPIN THIS SHIT HURT!! HOW MANY PILLS CAN I TAKE!!"	139	the dentist lied will not feel any discomort prob will not even need pain pills man twippin this shit hurt how many pills can i take	132
0	@kirstiealley my dentist is great but she's expensive...=(	58	my dentist is great but she expensive	37
1	is studing math ;) tomorrow exam and dentist :)	47	is studing math tomorrow exam and dentist	41
0	my dentist was wrong... WRONG	29	my dentist was wrong wrong	26
0	Going to the dentist later.:|	29	going to the dentist later	26
0	Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell?	138	son has me looking at cars online i hate car shopping would rather go to the dentist anyone with good car at good price to sell	127
0	luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts. how jacked up is that?	120	luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts how jacked up is that	118
1	Safeway is very rock n roll tonight	35	safeway is very rock roll tonight	33
0	The safeway bathroom still smells like ass!	43	the safeway bathroom still smells like ass	42
0	At safeway on elkhorn, they move like they're dead!	51	at safeway on elkhorn they move like they re dead	49
1	i love Dwight Howard's vitamin water commercial... now i wish he was with NIKE and not adidas. lol.	99	i love dwight howard vitamin water commercial now i wish he was with nike and not adidas lol	92
0	Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic	84	found nothing at nike factory off to banana republic outlet	59
1	is lovin his Nike  already and that's only from running on the spot in his bedroom	82	is lovin his nike already and that only from running on the spot in his bedroom	79
1	@matthewcyan I finally got around to using jquery to make my bio collapse. Yay for slide animations.	100	i finally got around to using jquery to make my bio collapse yay for slide animations	85
1	@PDubyaD right!!! LOL we'll get there!! I have high expectations, Warren Buffet style.	86	right lol we ll get there i have high expectations warren buffet style	70
1	"RT @blknprecious1: RT GREAT @dbroos ""Someone's sitting in the shade today because someone planted a tree a long time ago.""- Warren Buffet"	137	rt rt great someone sitting in the shade today because someone planted tree long time ago warren buffet	103
1	Warren Buffet became (for a time) the richest man in the United States, not by working but investing in 1 Big idea which lead to the fortune	140	warren buffet became for time the richest man in the united states not by working but investing in big idea which lead to the fortune	133
1	According to the create a school, Notre Dame will have 7 receivers in NCAA 10 at 84 or higher rating :) *sweet*	111	according to the create school notre dame will have receivers in ncaa at or higher rating sweet	95
1	@BlondeBroad it's definitely under warranty &amp; my experience is the amazon support for kindle is great! had to contact them about my kindle2	143	it definitely under warranty and my experience is the amazon support for kindle is great had to contact them about my kindle	124
0	Time Warner Road Runner customer support here absolutely blows. I hate not having other high-speed net options. I'm ready to go nuclear.	136	time warner road runner customer support here absolutely blows i hate not having other high speed net options i am ready to go nuclear	134
0	Time Warner cable phone reps r dumber than nails!!!!! UGH! Cable was working 10 mins ago now its not WTF!	105	time warner cable phone reps dumber than nails ugh cable was working mins ago now its not wtf	93
0	@siratomofbones we tried but Time Warner wasn't being nice so we recorded today. :)	83	we tried but time warner was not being nice so we recorded today	64
0	OMG - time warner f'ed up my internet install - instead of today  its now NEXT saturday - another week w/o internet! &amp;$*ehfa^V9fhg[*# fml.	142	omg time warner ed up my internet install instead of today its now next saturday another week internet and ehfa fhg fml	119
0	wth..i have never seen a line this loooong at time warner before, ugh.	70	wth i have never seen line this loooong at time warner before ugh	65
0	Impatiently awaiting the arrival of the time warner guy. It's way too pretty to be inside all afternoon	103	impatiently awaiting the arrival of the time warner guy it way too pretty to be inside all afternoon	100
0	Naive Bayes using EM for Text Classification. Really Frustrating...	67	naive bayes using em for text classification really frustrating	63
1	We went to Stanford University today. Got a tour. Made me want to go back to college. It's also decided all of our kids will go there.	134	we went to stanford university today got tour made me want to go back to college it also decided all of our kids will go there	126
0	@KarrisFoxy If you're being harassed by calls about your car warranty, changing your number won't fix that. They call every number. #d-bags	139	if you are being harassed by calls about your car warranty changing your number will not fix that they call every number bags	125
0	Just blocked United Blood Services using Google Voice. They call more than those Car Warranty guys.	99	just blocked united blood services using google voice they call more than those car warranty guys	97
0	#at&amp;t is complete fail.	27	atandt is complete fail	23
0	@broskiii OH SNAP YOU WORK AT AT&amp;T DON'T YOU	48	oh snap you work at atandt do not you	37
0	@Mbjthegreat i really dont want AT&amp;T phone service..they suck when it comes to having a signal	98	i really do not want atandt phone service they suck when it comes to having signal	82
0	I say we just cut out the small talk: AT&amp;T's new slogan: F__k you, give us your money. (Apologies to Bob Geldof.)	117	i say we just cut out the small talk atandt new slogan you give us your money apologies to bob geldof	101
0	pissed about at&amp;t's mid-contract upgrade price for the iPhone (it's $200 more) I'm not going to pay $499 for something I thought was $299	141	pissed about atandt mid contract upgrade price for the iphone it more i am not going to pay for something i thought was	119
0	Safari 4 is fast :) Even on my shitty AT&amp;T tethering.	57	safari is fast even on my shitty atandt tethering	49
0	@ims What is AT&amp;T fucking up?	33	what is atandt fucking up	25
0	@springsingfiend @dvyers @sethdaggett @jlshack AT&amp;T dropped the ball and isn't supporting crap with the new iPhone 3.0... FAIL #att SUCKS!!!	144	atandt dropped the ball and is not supporting crap with the new iphone fail att sucks	85
0	@MMBarnhill yay, glad you got the phone! Still, damn you, AT&amp;T.	67	yay glad you got the phone still damn you atandt	48
0	Talk is Cheap: Bing that, I?ll stick with Google. http://bit.ly/XC3C8	69	talk is cheap bing that i ll stick with google	46
0	@defsounds WTF is the point of deleting tweets if they can still be found in summize and searches? Twitter, please fix that. Thanks and bye	139	wtf is the point of deleting tweets if they can still be found in summize and searches twitter please fix that thanks and bye	125
1	@ArunBasilLal I love Google Translator too ! :D Good day mate !	63	i love google translator too good day mate	42
1	reading on my new Kindle2!	26	reading on my new kindle	24
1	My Kindle2 came and I LOVE it! :)	33	my kindle came and i love it	28
1	"LOVING my new Kindle2.  Named her Kendra in case u were wondering. The ""cookbook"" is THE tool cuz it tells u all the tricks!  Best gift EVR!"	140	loving my new kindle named her kendra in case were wondering the cookbook is the tool cuz it tells all the tricks best gift evr	127
0	The real AIG scandal / http://bit.ly/b82Px	42	the real aig scandal	20
1	Obama is quite a good comedian! check out his dinner speech on CNN :) very funny jokes.	87	obama is quite good comedian check out his dinner speech on cnn very funny jokes	80
1	"' Barack Obama shows his funny side "" &gt;&gt; http://tr.im/l0gY !! Great speech.."	82	barack obama shows his funny side great speech	46
1	"I like this guy : ' Barack Obama shows his funny side "" &gt;&gt; http://tr.im/l0gY !!"	85	i like this guy barack obama shows his funny side	49
1	Obama's speech was pretty awesome last night! http://bit.ly/IMXUM	65	obama speech was pretty awesome last night	42
1	"Reading  ""Bill Clinton Fail - Obama Win?"" http://tinyurl.com/pcyxj7"	67	reading bill clinton fail obama win	35
1	Obama More Popular Than U.S. Among Arabs: Survey: President Barack Obama's popularity in leading Arab countries .. http://tinyurl.com/prlvqu	140	obama more popular than among arabs survey president barack obama popularity in leading arab countries	102
1	Obama's got JOKES!! haha just got to watch a bit of his after dinner speech from last night... i'm in love with mr. president ;)	128	obama got jokes haha just got to watch bit of his after dinner speech from last night i am in love with mr president	116
0	LEbron james got in a car accident i guess..just heard it on evening news...wow i cant believe it..will he be ok ? http://twtad.com/69750	137	lebron james got in car accident i guess just heard it on evening news wow i can not believe it will he be ok	109
1	is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals	97	is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals	97
1	@khalid0456 No, Lebron is the best	34	no lebron is the best	21
1	@the_real_usher LeBron is cool.  I like his personality...he has good character.	80	lebron is cool i like his personality he has good character	59
1	Watching Lebron highlights. Damn that niggas good	49	watching lebron highlights damn that niggas good	48
1	@Lou911 Lebron is MURDERING shit.	33	lebron is murdering shit	24
1	@uscsports21 LeBron is a monsta and he is only 24. SMH The world ain't ready.	77	lebron is monsta and he is only smh the world ain ready	55
1	@cthagod when Lebron is done in the NBA he will probably be greater than Kobe. Like u said Kobe is good but there alot of 'good' players.	137	when lebron is done in the nba he will probably be greater than kobe like said kobe is good but there alot of good players	122
1	KOBE IS GOOD BT LEBRON HAS MY VOTE	34	kobe is good bt lebron has my vote	34
0	Kobe is the best in the world not lebron .	42	kobe is the best in the world not lebron	40
1	@asherroth World Cup 2010 Access?? Damn, that's a good look!	60	world cup access damn that good look	36
1	Just bought my tickets for the 2010 FIFA World Cup in South Africa. Its going to be a great summer. http://bit.ly/9GEZI	119	just bought my tickets for the fifa world cup in south africa its going to be great summer	90
0	I have to go to Booz Allen Hamilton for a 2hr meeting :(  But then i get to go home :)	86	i have to go to booz allen hamilton for hr meeting but then i get to go home	76
1	The great Indian tamasha truly will unfold from May 16, the result day for Indian General Election.	99	the great indian tamasha truly will unfold from may the result day for indian general election	94
1	@crlane I have the Kindle2. I've seen pictures of the DX, but haven't seen it in person. I love my Kindle - I'm on it everyday.	127	i have the kindle i have seen pictures of the dx but have not seen it in person i love my kindle i am on it everyday	116
1	@criticalpath Such an awesome idea - the  continual learning program with a Kindle2  http://bit.ly/1ZLfF	104	such an awesome idea the continual learning program with kindle	63
1	@faithbabywear Ooooh, what model are you getting??? I have the 40D and LOVE LOVE LOVE LOVE it!	94	ooooh what model are you getting i have the and love love love love it	70
1	The Times of India: The wonder that is India's election. http://bit.ly/p7u1H	76	the times of india the wonder that is india election	52
1	http://is.gd/ArUJ Good video from Google on using search options.	65	good video from google on using search options	46
0	@ambcharlesfield lol. Ah my skin is itchy :( damn lawnmowing.	61	lol ah my skin is itchy damn lawnmowing	39
0	itchy back!! dont ya hate it!	29	itchy back do not ya hate it	28
1	Stanford Charity Fashion Show a top draw http://cli.gs/NeNuAH	61	stanford charity fashion show top draw	38
1	Stanford University?s Facebook Profile is One of the Most Popular Official University Pages - http://tinyurl.com/p5b3fl	119	stanford university facebook profile is one of the most popular official university pages	89
1	Lyx is cool.	12	lyx is cool	11
1	SOOO DISSAPOiNTED THEY SENT DANNY GOKEY HOME... YOU STiLL ROCK ...DANNY ... MY HOMETOWN HERO !! YEAH MiLROCKEE!!	112	sooo dissapointed they sent danny gokey home you still rock danny my hometown hero yeah milrockee	97
1	RT @PassionModel 'American Idol' fashion: Adam Lambert tones down, Danny Gokey cute ... http://cli.gs/7JWSHV	108	rt american idol fashion adam lambert tones down danny gokey cute	65
1	@dannygokey I love you DANNY GOKEY!! :)	39	i love you danny gokey	22
0	so tired. i didn't sleep well at all last night.	48	so tired i did not sleep well at all last night	47
0	Boarding plane for San Francisco in 1 hour; 6 hr flight. Blech.	63	boarding plane for san francisco in hour hr flight blech	56
0	bonjour San Francisco. My back hurts from last night..	54	bonjour san francisco my back hurts from last night	51
1	With my best girl for a few more hours in San francisco. Mmmmmfamily is wonderful!	82	with my best girl for few more hours in san francisco mmmmmfamily is wonderful	78
0	F*** up big, or go home - AIG	29	up big or go home aig	21
1	Went to see the Star Trek movie last night.  Very satisfying.	61	went to see the star trek movie last night very satisfying	58
1	I can't wait, going to see star trek tonight!!	46	i can not wait going to see star trek tonight	45
1	Star Trek was as good as everyone said!!	40	star trek was as good as everyone said	38
1	am loving new malcolm gladwell book - outliers	46	am loving new malcolm gladwell book outliers	44
