	Negative	Positive	TotalFreq
abfab	0	1	1
abhi	0	2	2
abi	1	1	2
abia	0	1	1
abigail	0	1	1
abiiisss	1	0	1
abilities	1	1	2
ability	8	9	17
abis	2	0	2
abisan	1	0	1
abit	13	6	19
abitare	0	1	1
able	206	97	303
ableton	3	1	4
abn	1	1	2
abnormal	0	1	1
abnormally	1	0	1
aboard	0	2	2
abode	1	0	1
aboohoo	1	0	1
aboout	1	0	1
aboriginal	1	1	2
aborted	2	0	2
abortion	4	0	4
abot	1	0	1
abotu	0	1	1
abou	1	0	1
abound	0	1	1
abounding	0	1	1
about	1311	1198	2509
abouting	0	1	1
abouts	1	0	1
aboutt	1	1	2
abouttohead	0	1	1
abouuut	0	1	1
above	5	17	22
abp	0	1	1
abq	0	1	1
abracos	0	1	1
abraham	1	1	2
abrahms	0	1	1
abrams	1	0	1
abrazar	1	0	1
abridged	1	0	1
abroad	6	2	8
abrupt	1	0	1
abs	1	4	5
abscond	0	1	1
abseil	0	1	1
absence	3	3	6
absences	1	0	1
absent	6	3	9
absentmindedly	1	0	1
absents	1	0	1
absinthe	1	1	2
abslute	1	0	1
absolute	4	6	10
absolutely	42	72	114
absolutley	0	2	2
absolutly	3	5	8
absorbed	1	0	1
absorbing	0	1	1
abster	0	1	1
abstract	1	2	3
abstracts	1	0	1
absute	0	1	1
abt	24	17	41
abu	3	1	4
abuela	1	0	1
abuelo	1	0	1
abummer	1	0	1
abundance	1	3	4
abundant	2	1	3
aburke	1	0	1
aburrido	1	0	1
abuse	5	1	6
abused	4	1	5
abuses	1	0	1
abusing	2	0	2
abusive	0	1	1
abut	0	1	1
abwt	1	0	1
abyss	2	1	3
ac	31	11	42
aca	0	1	1
acab	1	0	1
acabou	1	0	1
acacia	0	1	1
acadeaua	0	1	1
academia	1	0	1
academic	0	3	3
academics	0	1	1
academy	3	6	9
acadmey	1	0	1
acai	1	1	2
acapella	1	0	1
acc	3	2	5
accdg	0	1	1
accelerate	1	0	1
accent	7	12	19
accented	0	1	1
accents	2	3	5
accept	15	9	24
acceptable	1	1	2
acceptance	2	1	3
accepted	5	11	16
accepting	3	4	7
access	34	13	47
accessibility	1	0	1
accessible	3	2	5
accessibly	0	1	1
accessing	1	0	1
accessories	4	2	6
accessorise	1	0	1
accessory	1	1	2
accidend	0	1	1
accident	41	6	47
accidental	2	0	2
accidentally	10	3	13
accidentaly	1	0	1
accidentilly	1	0	1
accidently	5	0	5
accidents	4	0	4
acciedent	1	0	1
acck	2	0	2
acclimating	0	1	1
accommodation	0	3	3
accompanied	1	0	1
accompanying	2	2	4
accomplice	0	1	1
accomplish	3	3	6
accomplished	4	12	16
accomplishing	0	3	3
accomplishment	0	1	1
accord	0	2	2
according	14	10	24
account	92	68	160
accountant	1	0	1
accountants	0	1	1
accounting	2	5	7
accounts	14	8	22
accoustic	0	1	1
accredchat	0	1	1
acct	3	3	6
accuracy	1	0	1
accurate	1	1	2
accusation	0	1	1
accused	1	1	2
accusing	0	1	1
acdc	1	1	2
ace	10	9	19
acedemic	1	0	1
aceito	0	1	1
acell	1	0	1
acemansworld	0	1	1
acer	0	2	2
aces	0	2	2
acess	1	0	1
acetylsalicylic	0	1	1
acf	0	1	1
ach	2	3	5
acha	1	1	2
achaaaaa	0	1	1
ache	61	6	67
acheeeeeeeeeeeeeeeeeeee	1	0	1
achelllis	1	0	1
aches	13	1	14
achey	2	0	2
achi	0	1	1
achie	1	0	1
achievable	0	1	1
achieve	1	1	2
achieved	1	2	3
achievement	2	3	5
achievements	1	0	1
achievers	0	1	1
achievin	1	0	1
achieving	1	0	1
achievment	0	1	1
achin	1	0	1
aching	14	3	17
achja	0	1	1
acho	0	2	2
achooo	1	0	1
acht	0	1	1
achurley	1	0	1
achy	3	2	5
acid	8	5	13
acing	0	1	1
ack	7	3	10
ackk	1	0	1
acknowledge	0	1	1
acknowledged	0	1	1
acknowledging	0	2	2
ackwardddddd	1	0	1
acl	2	2	4
acmi	1	0	1
acne	2	0	2
aco	0	1	1
acold	1	0	1
acolo	0	1	1
acomplished	0	1	1
acosta	0	1	1
acount	1	0	1
acoustic	3	9	12
acquaintance	0	1	1
acquainted	0	2	2
acquiescin	0	1	1
acquire	3	0	3
acquired	3	0	3
acreditar	1	0	1
acro	0	1	1
acrobatics	1	0	1
acronym	1	0	1
across	26	20	46
acrosss	1	0	1
acrostics	0	1	1
acrylics	0	1	1
act	13	18	31
actaully	0	1	1
acted	0	2	2
actin	1	0	1
acting	23	23	46
action	17	22	39
actions	4	7	11
activate	6	1	7
activates	1	0	1
activation	6	0	6
active	8	10	18
actively	1	1	2
activia	1	1	2
activist	1	0	1
activistis	1	0	1
activists	1	0	1
activities	3	3	6
activity	8	6	14
actizzard	1	0	1
actor	2	10	12
actors	2	6	8
actress	6	11	17
acts	6	6	12
actual	22	12	34
actuality	1	0	1
actuallly	0	1	1
actually	236	290	526
actuallyi	1	0	1
actualy	2	2	4
actuate	0	1	1
actuatlly	0	1	1
actuelly	1	0	1
actully	0	1	1
acually	1	0	1
acupressure	1	0	1
acupuncturist	0	1	1
acutally	0	1	1
acutually	1	0	1
acward	1	0	1
ad	12	25	37
ada	3	3	6
adaaaaammmmmm	1	0	1
adagio	0	1	1
adai	1	0	1
adakah	1	0	1
adalah	1	0	1
adam	31	41	72
adams	6	6	12
adapt	1	0	1
adapted	1	0	1
adapter	4	3	7
adapting	0	1	1
adaptiveblue	0	1	1
adaptor	1	0	1
adarsh	1	0	1
adaugat	1	0	1
adblock	0	2	2
add	55	170	225
addded	0	1	1
added	11	39	50
adderall	2	2	4
addict	10	5	15
addicted	15	34	49
addicting	1	8	9
addiction	11	10	21
addictionland	0	1	1
addictive	10	12	22
addicts	0	1	1
addin	0	1	1
adding	7	19	26
addison	1	0	1
addition	2	6	8
additional	1	2	3
additions	0	3	3
additive	0	1	1
addled	0	3	3
addmath	1	0	1
addmitt	0	1	1
addon	1	0	1
addons	0	1	1
address	13	24	37
addressbook	0	1	1
addressed	0	2	2
addresses	0	4	4
adds	2	5	7
adductors	1	0	1
addy	2	3	5
ade	1	0	1
adebayor	1	0	1
adek	1	0	1
adelaide	5	5	10
adele	1	2	3
adeline	1	0	1
adequately	1	0	1
adges	1	0	1
adhd	1	0	1
adhesive	0	1	1
adi	0	2	2
adian	0	1	1
adicted	0	2	2
adiction	1	0	1
adidas	1	1	2
adios	0	1	1
adisson	2	0	2
adit	1	0	1
aditya	0	1	1
adium	2	1	3
adive	0	1	1
adjectives	1	0	1
adjunct	1	0	1
adjust	8	2	10
adjusted	1	2	3
adjusting	3	0	3
adjustment	1	2	3
adjustments	1	0	1
adleast	0	1	1
adm	0	1	1
admin	7	7	14
administration	0	1	1
adminpraise	0	1	1
admins	0	1	1
admirable	0	1	1
admire	2	6	8
admired	0	1	1
admirer	0	1	1
admires	0	1	1
admiring	0	1	1
admission	1	0	1
admissions	1	0	1
admit	10	20	30
admits	1	0	1
admittance	0	1	1
admitted	1	1	2
admittedly	2	0	2
admitting	1	0	1
admu	1	0	1
adn	1	0	1
adnan	1	0	1
adobe	4	3	7
adobes	0	1	1
adobo	0	1	1
adolescent	1	0	1
adopt	2	1	3
adopted	2	2	4
adopter	0	1	1
adopters	0	1	1
adopting	0	1	1
adoption	0	2	2
adorable	9	56	65
adorably	0	1	1
adorama	0	1	1
adore	4	18	22
adoreable	0	1	1
adored	1	0	1
adores	0	1	1
adorian	1	0	1
adorned	0	1	1
adoro	0	1	1
adowable	0	1	1
adp	0	2	2
adpot	0	1	1
adreena	0	1	1
adrenaline	0	3	3
adress	0	2	2
adrian	5	6	11
adriana	1	2	3
adriano	0	1	1
adrians	1	0	1
adrien	1	0	1
adrift	1	2	3
ads	18	15	33
adsense	1	0	1
adsgfxx	0	1	1
adtech	0	1	1
adtr	0	1	1
adu	1	0	1
adult	7	6	13
adults	3	2	5
aduuuh	1	0	1
advance	4	8	12
advanced	4	6	10
advances	1	1	2
advantage	6	8	14
advantages	1	2	3
advantures	0	1	1
advent	0	1	1
adventure	2	16	18
adventureland	1	1	2
adventures	2	7	9
adventuring	0	1	1
adventurous	1	1	2
adverse	1	0	1
adversity	1	0	1
advert	4	3	7
advertise	0	2	2
advertised	2	2	4
advertisement	2	3	5
advertisements	1	0	1
advertising	2	3	5
adverts	2	3	5
adveture	0	1	1
advice	12	36	48
advicee	1	0	1
advices	0	1	1
advil	7	2	9
advise	2	1	3
adviser	0	3	3
advisors	0	1	1
advisory	4	0	4
advocate	0	2	2
advocating	0	1	1
advt	0	2	2
adwords	0	2	2
ady	2	0	2
ae	3	2	5
aeae	0	1	1
aeew	0	1	1
aef	0	1	1
aer	0	1	1
aerial	0	2	2
aero	3	0	3
aerobars	1	0	1
aeromexico	1	0	1
aeroplane	1	0	1
aeropostale	0	2	2
aesop	1	0	1
aest	1	0	1
aesthetic	0	1	1
aeueahuaeheauheauheauea	1	0	1
af	4	1	5
afaik	1	1	2
afan	0	1	1
afar	2	2	4
afb	1	0	1
afd	0	1	1
afew	1	1	2
aff	1	1	2
affable	0	1	1
affair	3	1	4
affairs	1	0	1
affan	0	4	4
affanfafffanafaffnfnfa	0	1	1
affect	2	3	5
affected	4	1	5
affection	1	1	2
affective	1	0	1
affects	2	2	4
affence	0	1	1
affie	0	1	1
affiliate	3	2	5
affiliated	0	1	1
affiliates	0	3	3
affirmation	0	1	1
affirmations	0	1	1
affirmative	0	1	1
affirming	1	0	1
afflicted	0	1	1
affliction	0	1	1
afforable	0	1	1
afford	58	9	67
affordable	1	1	2
afforded	1	0	1
affs	0	2	2
afg	1	0	1
afghan	1	1	2
afghanistan	2	2	4
afi	0	1	1
afieh	1	0	1
afk	0	1	1
afkb	0	1	1
afl	1	0	1
afleck	0	1	1
aford	1	0	1
aforementioned	0	1	1
afraid	48	19	67
afraiiiiiiiiiiiiid	1	0	1
africa	15	6	21
african	2	2	4
afrique	1	0	1
afro	2	0	2
afrodisiac	0	1	1
afstuderen	0	1	1
aft	0	2	2
afta	4	2	6
after	506	458	964
afterall	5	5	10
afteralll	0	1	1
afterball	1	0	1
afterdark	0	1	1
afterjune	1	0	1
aftermath	2	0	2
afternon	1	0	1
afternoo	1	0	1
afternoon	81	135	216
afternoonandnitee	0	1	1
afternoons	1	2	3
afternoooon	0	1	1
afternooooooon	0	1	1
afterparty	1	1	2
afterprom	1	0	1
afters	0	1	1
afterschool	0	1	1
afterschoool	0	1	1
aftershave	1	0	1
aftershocks	1	0	1
aftersun	1	0	1
afterthat	1	0	1
afterward	5	2	7
afterwards	8	7	15
aftie	0	3	3
afto	0	1	1
afton	0	1	1
aftr	1	0	1
aftrall	1	0	1
aftre	0	1	1
aftrnoon	0	1	1
aftrs	0	1	1
afty	1	0	1
afun	0	1	1
afundar	1	0	1
afv	1	0	1
ag	1	5	6
aga	1	1	2
agaaaaaiiin	0	1	1
agaaaaain	1	0	1
agaaiinn	1	0	1
agaain	0	1	1
agadir	1	0	1
again	913	659	1572
againg	1	0	1
againn	0	1	1
againnn	1	0	1
againnnnn	1	1	2
againnnnnn	1	0	1
agains	2	1	3
against	39	20	59
agan	1	0	1
agapi	1	0	1
agar	0	2	2
age	21	33	54
aged	4	2	6
ageing	0	1	1
ageless	1	0	1
agen	2	1	3
agency	2	4	6
agenda	4	10	14
agent	6	5	11
agents	1	4	5
ages	35	25	60
agess	1	0	1
agesss	1	0	1
agessss	1	0	1
agez	1	0	1
agezz	1	0	1
agfest	0	1	1
aggggh	1	0	1
agggghhhhhh	0	1	1
aggie	2	2	4
aggravated	2	0	2
aggressive	5	4	9
aggro	0	1	1
agh	11	2	13
aghh	2	0	2
aghhh	0	1	1
aghhhh	2	0	2
aghhhhh	2	0	2
aghhhhhhhhhhhh	1	0	1
aghhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh	1	0	1
aghrrr	1	0	1
agian	0	2	2
agiht	1	0	1
agile	0	1	1
agility	0	1	1
agin	1	0	1
aging	4	1	5
agingforwards	1	0	1
agn	1	0	1
agnes	0	1	1
ago	168	114	282
agonize	1	0	1
agonizing	1	0	1
agony	8	1	9
agood	0	1	1
agora	0	2	2
agoraphobia	0	1	1
agraceful	0	1	1
agree	51	96	147
agreed	21	28	49
agreeded	0	1	1
agreee	0	2	2
agreeed	1	0	1
agreeee	0	1	1
agreeing	3	1	4
agreement	0	2	2
agrees	2	3	5
agrh	1	0	1
agricultural	0	1	1
agriculture	1	0	1
agruing	0	1	1
ags	0	1	1
aguast	1	0	1
aguirre	0	1	1
agyness	1	0	1
ah	116	154	270
aha	14	33	47
ahaa	0	1	1
ahaaaa	0	1	1
ahaahh	1	0	1
ahah	6	7	13
ahaha	19	30	49
ahahaa	0	2	2
ahahaaaaa	0	1	1
ahahah	2	8	10
ahahaha	5	14	19
ahahahaaaa	0	1	1
ahahahah	2	0	2
ahahahaha	0	5	5
ahahahahah	0	2	2
ahahahahaha	1	0	1
ahahahahahaha	0	2	2
ahahahahha	0	1	1
ahahahha	0	1	1
ahahahhaha	0	1	1
ahahahs	0	1	1
ahahha	0	2	2
ahahhaa	0	1	1
ahahhaha	1	1	2
ahahhhhhh	0	1	1
ahar	1	0	1
ahead	44	49	93
ahehehe	0	1	1
ahem	3	2	5
ahern	0	1	1
ahh	77	79	156
ahha	3	3	6
ahhaha	2	2	4
ahhahahah	1	0	1
ahhh	58	67	125
ahhhaaaa	1	0	1
ahhhaha	0	1	1
ahhhgghh	1	0	1
ahhhghhh	1	0	1
ahhhh	30	24	54
ahhhhahahahaha	1	0	1
ahhhhg	1	0	1
ahhhhh	20	16	36
ahhhhhh	9	5	14
ahhhhhhh	2	2	4
ahhhhhhhh	4	1	5
ahhhhhhhhhh	1	0	1
ahhhhhhhhhhh	1	2	3
ahhhhhhhhhhhh	0	1	1
ahhhhhhhhhhhhh	1	0	1
ahhhhhhhhhhhhhhh	1	0	1
ahhhhhhhhhhhhhhhh	1	0	1
ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh	1	0	1
ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh	0	1	1
ahhi	0	1	1
ahhmmppp	1	0	1
ahi	3	3	6
ahir	0	1	1
ahm	1	1	2
ahma	1	0	1
ahmadi	1	0	1
ahmazing	1	0	1
ahold	1	0	1
ahora	1	0	1
ahoy	1	0	1
ahrr	1	0	1
aht	0	1	1
ahtspot	1	0	1
ahve	1	2	3
ahw	1	0	1
ahwellnexttime	1	0	1
ai	6	9	15
aia	0	1	1
aibohphobia	1	0	1
aid	8	5	13
aidan	1	4	5
aiden	4	5	9
aider	1	0	1
aids	2	2	4
aiesec	0	1	1
aight	3	5	8
aiids	1	0	1
aikens	1	0	1
aikido	0	1	1
aila	1	0	1
aileen	0	1	1
ailern	0	1	1
ailing	1	0	1
ailments	1	0	1
aim	19	21	40
aime	0	1	1
aimed	2	0	2
aimee	3	2	5
aimin	1	0	1
aiming	0	1	1
aimlessley	0	1	1
aimlessly	1	1	2
aimy	0	1	1
ain	53	30	83
ainda	0	1	1
ainsley	0	1	1
aint	61	36	97
aion	1	1	2
aiport	1	1	2
air	98	52	150
airasia	1	0	1
airblade	0	1	1
airborne	2	0	2
airbrushed	1	0	1
airbus	4	0	4
aircel	0	1	1
aircon	2	4	6
aircondition	0	1	1
aircraft	3	2	5
aired	1	0	1
airene	0	1	1
aires	0	1	1
airfare	1	0	1
airfrance	3	0	3
airhorn	0	1	1
airhostesses	1	0	1
airing	3	3	6
airlife	1	0	1
airline	1	2	3
airliners	1	0	1
airlines	5	3	8
airman	1	0	1
airmata	1	0	1
airplane	5	1	6
airplanes	1	2	3
airplay	0	2	2
airport	90	37	127
airportmania	0	1	1
airports	1	1	2
airs	4	2	6
airshow	0	1	1
airside	1	0	1
airsoft	1	1	2
airtel	1	0	1
airtport	1	0	1
airwaves	0	1	1
airway	1	0	1
airways	1	0	1
airy	0	1	1
ais	0	1	1
aisa	0	1	1
aise	1	0	1
aishwarya	0	1	1
aisle	3	1	4
aisleofyou	1	0	1
aisles	0	1	1
aivault	0	2	2
aivi	1	0	1
aiy	0	2	2
aiya	1	0	1
aiyaamekkkkcited	0	1	1
aiyo	0	1	1
aiyoyo	1	0	1
aiz	1	0	1
aj	5	7	12
aja	2	4	6
ajajaj	1	0	1
ajantha	1	0	1
ajax	3	1	4
ajaxy	1	0	1
ajay	1	0	1
ajaybhatt	0	1	1
ajc	1	0	1
ajd	0	1	1
aje	0	1	1
ajeesh	1	0	1
ajn	1	0	1
ajung	0	1	1
ajuta	1	0	1
ak	3	5	8
aka	27	29	56
akai	1	0	1
akan	0	1	1
akash	1	0	1
akerlund	1	0	1
akes	1	0	1
akhir	1	0	1
akhirnya	0	1	1
aki	2	0	2
akin	0	1	1
akira	0	1	1
akko	0	1	1
aklaba	1	0	1
ako	6	9	15
akon	0	3	3
akong	2	0	2
akoooo	0	1	1
akron	1	2	3
akropolis	1	0	1
aks	0	1	1
aksjasi	0	1	1
aktually	0	1	1
aku	6	3	9
akward	0	2	2
akyahar	0	1	1
akzanna	0	1	1
al	14	24	38
ala	2	1	3
alaah	0	1	1
alabama	1	4	5
alabang	1	0	1
aladdin	0	2	2
alagria	0	1	1
alainas	1	0	1
alalala	1	0	1
alam	2	1	3
alan	2	4	6
alana	0	1	1
alarm	26	14	40
alarmed	0	2	2
alarms	5	2	7
alas	35	1	36
alaska	6	3	9
alat	0	1	1
alayna	0	1	1
alba	0	1	1
albans	1	0	1
albees	0	1	1
albeit	2	1	3
albert	2	2	4
alberta	2	0	2
albertsons	3	0	3
albion	1	0	1
albom	0	1	1
albulm	1	0	1
album	58	156	214
albumm	0	2	2
albums	7	14	21
albun	1	0	1
alc	0	3	3
alcance	1	0	1
alcatraz	1	0	1
alcazar	0	1	1
alchemist	1	0	1
alchera	0	1	1
alchie	1	0	1
alcholo	1	0	1
alchy	1	1	2
alcohol	15	23	38
alcoholic	2	4	6
alcoholics	0	1	1
alcoholism	0	1	1
alcopop	1	0	1
ale	2	3	5
alebo	0	1	1
alec	1	2	3
alegre	1	0	1
alejandro	0	2	2
aleluya	0	1	1
alergies	1	0	1
alergy	0	1	1
alert	7	8	15
alerts	2	4	6
alessi	0	1	1
alesund	1	0	1
aleve	1	0	1
alevel	0	1	1
alex	16	39	55
alexa	1	1	2
alexander	0	1	1
alexandra	1	1	2
alexandria	0	1	1
alexandrine	0	1	1
alexi	0	1	1
alexia	0	1	1
alexis	3	2	5
alexisonfire	1	0	1
alexxxx	1	0	1
alexz	0	2	2
alf	0	1	1
alfa	0	1	1
alfajores	0	1	1
alfalfa	0	1	1
alfjur	1	0	1
alfred	0	1	1
alfredo	0	2	2
alg	0	1	1
algae	2	0	2
alge	0	1	1
algebra	6	3	9
alger	0	1	1
algonquin	0	2	2
algorithms	1	0	1
alhambra	1	1	2
alhamdulilah	0	1	1
alhamdulillah	0	2	2
alhamdullilah	0	1	1
alheias	0	1	1
ali	3	7	10
alia	0	1	1
alias	1	4	5
aliases	0	1	1
alice	2	11	13
alicia	2	6	8
aliciaaa	0	1	1
alien	0	6	6
alienate	0	1	1
aliens	0	3	3
alienz	0	2	2
alighted	1	0	1
aligned	0	1	1
alignment	1	0	1
alike	1	5	6
alil	3	0	3
alis	0	1	1
alisa	1	0	1
alishas	1	0	1
alison	1	0	1
alissa	1	0	1
alistair	0	1	1
alittle	5	0	5
alive	17	30	47
aliveasart	0	1	1
aliveee	0	1	1
aliw	1	0	1
aliya	2	0	2
aliyah	0	1	1
alize	1	0	1
aljam	1	0	1
alkghsdoiujasdgoih	1	0	1
all	2141	2005	4146
allah	0	6	6
allahares	1	0	1
allalone	1	0	1
allan	2	4	6
allblackent	1	0	1
allday	2	1	3
alle	0	1	1
alleex	0	1	1
allegies	1	0	1
allegory	1	0	1
alleman	0	1	1
allen	8	12	20
allentown	1	1	2
allerdings	0	1	1
allergic	23	3	26
allergies	34	2	36
allergiesaretehsuck	1	0	1
allergiess	1	0	1
allergy	11	5	16
allerigic	1	0	1
alles	0	1	1
alley	5	4	9
allez	1	0	1
alli	1	2	3
alliance	3	2	5
alliancetim	0	1	1
allie	1	0	1
allies	0	1	1
allison	5	11	16
alliterative	0	1	1
alll	6	6	12
alllizzz	1	0	1
allll	6	10	16
alllll	6	3	9
allllll	2	2	4
allllllllll	1	0	1
allllllllllll	1	0	1
allllllllllllllllllllllllllllllllllllllllllllllll	1	0	1
alllmmmmmost	0	1	1
alllways	1	0	1
allnighter	1	1	2
allo	0	1	1
allocated	1	0	1
allocation	1	0	1
alloquan	1	0	1
allot	1	1	2
allow	14	6	20
allowance	4	1	5
allowd	1	0	1
allowed	46	12	58
allowig	1	0	1
allowing	4	3	7
allows	2	0	2
allready	1	0	1
allright	0	1	1
allround	0	1	1
alls	1	2	3
allso	1	0	1
allston	0	1	1
allt	0	1	1
alltime	0	1	1
alluring	1	0	1
allways	0	1	1
allwd	0	1	1
ally	2	1	3
alma	0	1	1
almaghrib	0	1	1
almchemist	0	1	1
almirah	1	0	1
almond	0	2	2
almonds	1	2	3
almos	0	1	1
almost	216	177	393
almostt	0	1	1
almsot	0	1	1
alo	0	1	1
aloe	3	3	6
aloha	1	3	4
alohapeg	0	1	1
aloma	0	1	1
alona	0	1	1
alone	216	45	261
alonee	2	0	2
aloneee	1	0	1
along	35	69	104
alongs	0	1	1
alongside	0	1	1
alonso	0	1	1
alooonee	1	0	1
alors	0	1	1
alos	0	1	1
alot	55	46	101
alotta	1	1	2
aloud	1	3	4
alpha	3	3	6
alphabet	1	3	4
alphabetical	0	1	1
alphabets	1	0	1
alphabetti	0	1	1
alphanumeric	1	0	1
alpharetta	0	1	1
alphaxion	0	1	1
alpine	1	0	1
alr	1	1	2
alrady	1	0	1
alrd	0	1	1
alrdy	2	1	3
alreadii	1	0	1
already	500	255	755
alreadyy	1	0	1
alreadyyy	1	0	1
alreadyyyyy	0	1	1
alreay	3	0	3
alredy	4	0	4
alright	44	69	113
alrightt	0	1	1
alrightxx	1	0	1
alrighty	0	8	8
alriiiight	0	1	1
alrite	2	2	4
alseep	2	0	2
also	238	269	507
alt	0	4	4
altas	1	0	1
alter	1	5	6
altered	1	0	1
alterna	1	0	1
alternate	2	1	3
alternative	2	6	8
alternatively	0	1	1
alternatives	3	0	3
alternica	1	0	1
alterra	1	0	1
alters	0	1	1
althea	0	1	1
altho	4	3	7
although	51	52	103
althoughi	1	0	1
altijd	0	1	1
altogether	1	0	1
alton	4	1	5
altough	0	1	1
alum	0	1	1
aluminium	1	0	1
alumna	0	1	1
alumni	2	2	4
alvarado	0	1	1
alves	1	0	1
alvin	1	1	2
alvive	0	1	1
alvor	0	1	1
alwaiz	0	1	1
alwasy	0	1	1
alway	1	1	2
alwaya	1	0	1
always	351	404	755
alwayss	0	1	1
alwaysz	0	1	1
alwayz	1	0	1
aly	0	2	2
alys	0	1	1
alysa	1	0	1
alyssa	3	1	4
alyssas	1	0	1
alyssuh	1	0	1
alzheimers	1	0	1
alzheimes	1	0	1
am	5316	3920	9236
ama	3	1	4
amaaaaazing	0	1	1
amaaazing	0	2	2
amadeus	1	1	2
amaezing	0	1	1
amaing	0	1	1
amaizing	1	0	1
amaizinggggggggggggggg	0	1	1
amalfi	0	1	1
amalie	1	0	1
aman	0	1	1
amanda	12	15	27
amandadizon	1	0	1
amandapalmer	0	2	2
amandas	0	1	1
amandi	0	1	1
amaretto	0	2	2
amarillo	1	0	1
amaryllis	1	0	1
amat	1	0	1
amateur	0	4	4
amath	1	0	1
amaths	1	0	1
amaze	1	3	4
amazeballs	0	1	1
amazed	6	17	23
amazement	0	1	1
amazes	0	2	2
amaziing	0	1	1
amazin	2	7	9
amazing	149	419	568
amazingg	1	0	1
amazinggg	1	1	2
amazingggg	0	2	2
amazinggggg	0	1	1
amazingggggg	1	0	1
amazingggggggggg	0	1	1
amazingly	2	6	8
amazingness	0	4	4
amazinngg	0	1	1
amazinnnnnnggggg	0	1	1
amazon	12	14	26
amazonfail	1	0	1
amazura	1	0	1
amazzing	0	1	1
amazzzzing	1	0	1
ambassador	1	0	1
amben	1	0	1
amber	4	10	14
amberlovely	0	1	1
amberrrs	0	1	1
ambien	2	1	3
ambience	1	0	1
ambiguity	0	1	1
ambiguous	0	1	1
